Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Option1 name,Option1 value,Price,Compare-at price,Charge tax,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,SEO title,SEO description,Collection
Adorable Kittens Crochet Pattern PDF,adorable-kittens-crochet-pattern-pdf,"<p>Create a playful pair of adorable kittens with this digital crochet pattern.</p><p><strong>Digital download only.</strong> This listing is for a PDF crochet pattern. No finished item, yarn, hook, stuffing, safety eyes, or other physical materials will be shipped.</p><ul>
<li>Format: PDF crochet pattern</li>
<li>Language: English</li>
<li>Delivery: digital download</li>
</ul>",Coco Crochet,,Digital Crochet Pattern,"Animals-Amigurumi,Crochet-Pattern,Digital-PDF",true,active,,Title,Default Title,6.99,,false,,,,0,g,false,manual,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1773991084.png?v=1788382932,1,Adorable Kittens Crochet Pattern PDF,Adorable Kittens Crochet Pattern PDF,Create a playful pair of adorable kittens with this digital crochet pattern. Digital download only. This listing is for a PDF crochet pattern. No finished it…,Animals & Amigurumi Crochet Patterns
,adorable-kittens-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1773991137.png?v=1788382933,2,Adorable Kittens Crochet Pattern PDF – photo 2,,,
,adorable-kittens-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1773990993.jpg?v=1788382933,3,Adorable Kittens Crochet Pattern PDF – photo 3,,,
,adorable-kittens-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1773990949.jpg?v=1788382933,4,Adorable Kittens Crochet Pattern PDF – photo 4,,,
Adorable Pony Crochet Pattern PDF,adorable-pony-crochet-pattern-pdf,"<p>Create an adorable dressed pony with this digital crochet pattern.</p><p><strong>Digital download only.</strong> This listing is for a PDF crochet pattern. No finished item, yarn, hook, stuffing, safety eyes, or other physical materials will be shipped.</p><ul>
<li>Format: PDF crochet pattern</li>
<li>Language: English</li>
<li>Delivery: digital download</li>
</ul>",Coco Crochet,,Digital Crochet Pattern,"Animals-Amigurumi,Crochet-Pattern,Digital-PDF",true,active,,Title,Default Title,6.99,,false,,,,0,g,false,manual,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1773394053.png?v=1788382934,1,Adorable Pony Crochet Pattern PDF,Adorable Pony Crochet Pattern PDF,"Create an adorable dressed pony with this digital crochet pattern. Digital download only. This listing is for a PDF crochet pattern. No finished item, yarn, …",Animals & Amigurumi Crochet Patterns
,adorable-pony-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1773394057.png?v=1788382935,2,Adorable Pony Crochet Pattern PDF – photo 2,,,
,adorable-pony-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1773394056.png?v=1788382934,3,Adorable Pony Crochet Pattern PDF – photo 3,,,
,adorable-pony-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1773394051.png?v=1788382934,4,Adorable Pony Crochet Pattern PDF – photo 4,,,
,adorable-pony-crochet-pattern-pdf,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1773394269.png?v=1788382934,5,Adorable Pony Crochet Pattern PDF – photo 5,,,
Avocado Keychain Crochet Pattern PDF,avocado-keychain-crochet-pattern-pdf,"<p>Create a cute avocado keychain with this digital crochet pattern.</p><p><strong>Digital download only.</strong> This listing is for a PDF crochet pattern. No finished item, yarn, hook, stuffing, safety eyes, or other physical materials will be shipped.</p><ul>
<li>Format: PDF crochet pattern</li>
<li>Language: English</li>
<li>Delivery: digital download</li>
</ul>",Coco Crochet,,Digital Crochet Pattern,"Bags-Accessories,Crochet-Pattern,Digital-PDF",true,active,,Title,Default Title,4.99,,false,,,,0,g,false,manual,https://cdn.shopify.com/s/files/1/1025/5826/9805/files/1743590219_7e8d233c-e386-4df8-a5a9-d9ddfbfe29df.jpg?v=1788382943,1,Avocado Keychain Crochet Pattern PDF,Avocado Keychain Crochet Pattern PDF,"Create a cute avocado keychain with this digital crochet pattern. Digital download only. This listing is for a PDF crochet pattern. No finished item, yarn, h…",Bags & Accessories Crochet Patterns
